22.00	11	09
2.00	00	21
30.00	12	31
2.00	01	43
13.00	06	54
14.00	07	72
256.00	128	128
12.00	02	115
7.00	03	135
12.00	06	148
5.00	02	161
13.00	04	171
6.00	01	187
5.00	01	193
11.00	03	201
16.00	08	248
1.00	01	41
1.00	01	190
13.00	08	129
11.00	07	231
2.00	06	39
1.00	05	111
1.00	05	116
1.00	06	117
1.00	07	116
1.00	08	13
1.00	08	41
1.00	08	65
32.00	21	194
1.00	10	07
1.00	10	39
10.00	16	237
14.00	23	55
7.00	19	146
1.00	16	247
11.00	26	02
10.00	27	22
10.00	28	11
1.00	23	35
3.00	27	215
1.00	29	99
13.00	36	29
20.00	42	81
6.00	36	164
19.00	43	101
17.00	41	159
1.00	35	255
2.00	38	255
18.00	47	58
3.00	39	173
2.00	42	14
65.00	67	186
1.00	43	15
12.00	57	23
18.00	58	119
2.00	54	139
1.00	61	71
15.00	69	134
10.00	70	53
5.00	71	120
15.00	82	88
13.00	81	110
2.00	80	47
10.00	86	122
9.00	98	86
22.00	106	114
1.00	108	06
14.00	118	135
5.00	118	105
10.00	121	117
1.00	118	120
10.00	127	29
1.00	127	100
13.00	134	231
1.00	129	202
9.00	134	136
1.00	131	17
1.00	136	249
12.00	152	93
2.00	153	01
11.00	160	08
1.00	155	170
12.00	160	179
1.00	155	199
1.00	156	200
10.00	162	105
1.00	163	00
1.00	163	172
1.00	166	185
11.00	172	02
1.00	168	151
1.00	173	74
14.00	190	08
10.00	190	24
22.00	195	118
1.00	186	63
16.00	194	92
20.00	196	171
20.00	198	191
11.00	195	158
9.00	197	72
25.00	204	12
1.00	201	25
12.00	209	154
15.00	214	30
8.00	211	124
19.00	220	225
15.00	222	08
1.00	220	209
8.00	229	192
11.00	245	173
12.00	249	59
4.00	245	137
1.00	244	223
8.00	252	22
9.00	253	169
8.00	253	85
5.00	254	253
2.00	255	110
1.00	255	00
