14.00	07	54
20.00	03	94
23.00	06	143
19.00	04	169
9.00	03	201
12.00	08	231
5.00	10	74
31.00	21	194
3.00	13	221
14.00	23	55
20.00	33	26
2.00	27	02
20.00	42	81
71.00	64	186
17.00	44	101
20.00	47	58
11.00	57	22
18.00	58	119
17.00	69	134
6.00	70	54
16.00	82	89
13.00	81	111
10.00	86	123
11.00	104	116
4.00	109	109
15.00	118	135
10.00	128	29
14.00	135	231
7.00	133	136
1.00	137	204
13.00	152	92
3.00	152	211
11.00	160	07
9.00	162	105
16.00	189	08
18.00	194	92
22.00	195	118
7.00	189	24
33.00	200	165
22.00	198	191
6.00	197	73
15.00	202	213
15.00	214	30
19.00	219	225
16.00	222	08
10.00	244	174
13.00	249	58
7.00	248	89
28.00	252	140
4.00	254	21
6.00	254	85
