14.00	07	54
21.00	04	94
29.00	06	140
21.00	04	169
63.00	16	209
7.00	09	74
4.00	10	21
5.00	11	129
15.00	22	55
5.00	18	147
1.00	21	147
2.00	22	253
1.00	21	255
21.00	32	26
8.00	27	02
9.00	30	227
21.00	41	81
18.00	44	100
75.00	65	187
20.00	47	58
4.00	42	144
1.00	45	146
13.00	57	23
19.00	58	118
23.00	58	241
17.00	69	134
2.00	63	61
1.00	64	59
8.00	70	53
4.00	67	64
16.00	82	89
14.00	81	111
10.00	86	122
15.00	106	112
5.00	102	05
15.00	118	134
4.00	123	12
10.00	128	29
11.00	128	110
15.00	134	231
8.00	134	137
19.00	144	209
13.00	152	92
2.00	147	197
20.00	165	07
10.00	162	105
2.00	162	178
2.00	174	158
17.00	189	08
1.00	184	74
19.00	193	93
23.00	194	117
53.00	200	174
9.00	190	24
7.00	197	72
19.00	203	212
17.00	214	30
3.00	211	125
19.00	219	225
16.00	222	08
1.00	229	193
28.00	245	95
11.00	245	173
15.00	249	58
37.00	250	141
4.00	249	216
7.00	252	21
