256.00	128	128
2.00	01	165
1.00	20	168
1.00	28	240
1.00	31	25
1.00	31	131
3.00	33	129
1.00	35	127
2.00	36	244
1.00	36	245
1.00	46	233
13.00	57	02
1.00	57	35
1.00	59	42
1.00	61	35
13.00	63	93
1.00	62	06
2.00	66	177
5.00	69	196
1.00	68	35
2.00	70	34
3.00	71	192
3.00	72	177
5.00	74	187
1.00	72	252
1.00	76	235
4.00	81	153
1.00	79	234
4.00	82	151
10.00	86	238
3.00	85	33
4.00	87	03
2.00	85	26
1.00	86	152
3.00	88	01
1.00	89	247
10.00	95	05
1.00	95	243
33.00	112	245
7.00	99	148
1.00	98	239
1.00	101	249
7.00	104	252
10.00	108	49
1.00	104	247
2.00	108	15
38.00	127	78
2.00	109	17
1.00	110	18
2.00	111	17
1.00	112	235
1.00	112	249
1.00	113	236
2.00	115	249
1.00	128	88
1.00	143	113
1.00	145	246
9.00	149	251
1.00	146	115
1.00	146	128
1.00	159	31
1.00	159	131
1.00	165	127
38.00	174	211
7.00	170	39
2.00	171	42
1.00	180	41
1.00	181	40
4.00	185	231
10.00	192	52
3.00	189	120
1.00	196	250
1.00	202	40
12.00	212	60
7.00	214	88
1.00	225	41
1.00	226	40
2.00	227	133
3.00	227	144
7.00	229	128
1.00	228	141
3.00	230	98
1.00	229	136
1.00	230	135
1.00	231	134
1.00	231	241
25.00	243	250
28.00	240	135
1.00	232	240
1.00	233	239
1.00	233	241
1.00	234	235
1.00	234	238
7.00	237	241
1.00	235	155
1.00	235	234
1.00	235	244
1.00	236	24
5.00	238	44
1.00	238	27
4.00	240	30
1.00	239	235
1.00	240	149
3.00	241	237
3.00	243	02
2.00	243	29
3.00	243	88
1.00	244	30
1.00	244	203
1.00	245	03
1.00	245	31
8.00	248	129
1.00	246	01
1.00	246	32
1.00	248	02
1.00	249	233
3.00	250	236
3.00	251	119
1.00	250	229
1.00	250	232
1.00	250	234
1.00	251	233
2.00	251	240
10.00	254	05
