20.00	10	06
20.00	09	26
13.00	06	54
14.00	07	73
34.00	14	101
10.00	02	114
15.00	07	131
12.00	06	148
20.00	04	169
23.00	03	195
14.00	07	250
12.00	08	231
253.00	129	232
1.00	05	245
1.00	06	246
32.00	21	194
12.00	16	42
1.00	10	246
2.00	12	247
7.00	16	83
12.00	20	165
14.00	23	55
9.00	20	146
8.00	21	122
130.00	85	22
21.00	32	26
6.00	28	11
19.00	34	132
20.00	42	81
20.00	43	101
6.00	36	164
69.00	63	184
19.00	46	58
15.00	45	143
2.00	40	173
4.00	45	119
13.00	57	23
1.00	53	37
18.00	58	119
2.00	53	156
1.00	57	34
28.00	69	58
15.00	69	134
7.00	67	77
1.00	68	31
1.00	72	37
14.00	81	110
16.00	82	89
1.00	76	06
1.00	76	08
14.00	83	154
3.00	82	53
10.00	86	123
12.00	88	67
15.00	87	53
38.00	102	150
52.00	110	46
1.00	88	254
1.00	91	17
12.00	99	218
6.00	98	77
9.00	98	86
7.00	100	61
21.00	106	113
4.00	100	30
4.00	102	22
1.00	103	244
3.00	105	21
1.00	104	23
1.00	105	18
7.00	108	30
6.00	108	209
1.00	106	17
1.00	106	246
1.00	108	20
15.00	118	135
2.00	114	31
4.00	114	217
2.00	115	33
1.00	118	106
20.00	127	110
9.00	122	173
11.00	122	216
3.00	120	242
17.00	130	88
10.00	128	29
1.00	127	51
6.00	129	156
13.00	134	231
3.00	129	245
12.00	135	151
29.00	142	207
9.00	134	136
11.00	136	53
12.00	136	165
1.00	135	123
2.00	136	08
1.00	136	10
46.00	159	32
1.00	136	124
1.00	137	06
3.00	138	09
19.00	145	121
1.00	140	09
5.00	142	34
4.00	143	43
2.00	143	38
1.00	144	04
1.00	144	30
2.00	146	07
11.00	149	136
12.00	152	55
13.00	152	92
3.00	147	107
5.00	148	163
3.00	148	167
18.00	157	164
11.00	160	08
14.00	162	71
12.00	160	179
23.00	167	125
8.00	160	150
11.00	162	105
1.00	158	153
1.00	159	132
2.00	160	152
1.00	164	60
27.00	177	141
12.00	171	59
2.00	167	47
11.00	172	02
29.00	175	164
13.00	176	134
1.00	171	46
3.00	173	180
6.00	175	113
14.00	182	71
1.00	177	47
1.00	177	177
1.00	177	179
1.00	178	176
1.00	179	46
1.00	180	42
1.00	181	35
1.00	181	41
4.00	183	39
1.00	182	44
14.00	190	08
4.00	184	209
11.00	189	40
10.00	190	24
17.00	193	92
22.00	195	118
2.00	187	144
28.00	196	166
11.00	193	142
20.00	198	191
1.00	191	136
1.00	191	249
10.00	197	72
107.00	224	167
6.00	198	61
1.00	197	37
8.00	205	44
6.00	205	02
12.00	209	154
1.00	205	07
1.00	206	10
15.00	214	30
5.00	210	75
8.00	211	124
9.00	216	104
19.00	219	225
3.00	215	45
15.00	222	08
29.00	231	37
2.00	221	142
2.00	222	140
1.00	222	147
48.00	239	91
1.00	223	138
2.00	223	146
14.00	228	61
2.00	224	144
8.00	225	152
9.00	228	192
1.00	225	141
1.00	226	204
1.00	227	111
1.00	228	203
1.00	230	74
11.00	233	207
2.00	231	53
1.00	231	60
1.00	232	237
11.00	238	226
16.00	239	26
2.00	234	56
2.00	235	59
1.00	234	65
1.00	235	57
20.00	246	09
1.00	236	15
3.00	236	212
40.00	246	201
3.00	239	202
1.00	240	77
15.00	247	172
13.00	249	58
1.00	244	29
4.00	245	36
1.00	245	30
14.00	250	38
10.00	252	21
1.00	254	14
1.00	255	107
